,state,common_words1,common_words2,common_words3
0,NM,bright,report,light
1,BC,light,bright,sky
2,TX,sky,object,look
3,AZ,sky,move,plane
4,NE,forth,end,snuck
5,NY,saw,speed,minut
6,KS,sight,light,made
7,OR,went,move,light
8,CA,light,one,look
9,SC,enjoy,night,two
10,GA,pd,note,nuforc
11,OH,yellowish,moon,bright
12,CO,sourc,report,two
13,WI,sourc,report,drive
14,AB,ufo,ca,sourc
15,LA,night,minut,went
16,UT,rapid,two,sight
17,NJ,second,would,color
18,AK,bug,anoth,speed
19,PA,take,honest,get
20,IL,watch,close,light
21,WA,light,saw,white
22,"),",photo,light,hard
23,MA,light,without,bright
24,MO,first,watch,look
25,MN,light,pd,circl
26,MI,back,minut,light
27,NV,palac,damond,short
28,FL,appear,white,saw
29,AL,center,pd,note
30,IN,glow,mayb,ball
31,MD,wit,approxim,sky
32,ID,sourc,report,firebal
33,OK,later,tail,anyth
34,MT,later,attent,tail
35,NC,look,like,moon
36,ON,sight,abrupt,approxim
